Key;Country Relation;Country Relation Vice Versa;Origin Country;Destination Country;GDP WB origin;GDP WB Destination;Lat Origin;Lon Origin;Lat Destination;Lon Destination;Distance
AT_EE-350;AT_EE;EE_AT;AT;EE;481796;35187;47516231;14550072;58595272;25013607;350
AT_EE-400;AT_EE;EE_AT;AT;EE;481796;35187;47516231;14550072;58595272;25013607;400
AT_EE-500;AT_EE;EE_AT;AT;EE;481796;35187;47516231;14550072;58595272;25013607;500
AT_EE-600;AT_EE;EE_AT;AT;EE;481796;35187;47516231;14550072;58595272;25013607;600
AT_EE-700;AT_EE;EE_AT;AT;EE;481796;35187;47516231;14550072;58595272;25013607;700
AT_EE-800;AT_EE;EE_AT;AT;EE;481796;35187;47516231;14550072;58595272;25013607;800
AT_EE-900;AT_EE;EE_AT;AT;EE;481796;35187;47516231;14550072;58595272;25013607;900
AT_EE-1000;AT_EE;EE_AT;AT;EE;481796;35187;47516231;14550072;58595272;25013607;1000
AT_EE-1250;AT_EE;EE_AT;AT;EE;481796;35187;47516231;14550072;58595272;25013607;1250
AT_EE-1500;AT_EE;EE_AT;AT;EE;481796;35187;47516231;14550072;58595272;25013607;1500
AT_EE-1750;AT_EE;EE_AT;AT;EE;481796;35187;47516231;14550072;58595272;25013607;1750
AT_EE-2000;AT_EE;EE_AT;AT;EE;481796;35187;47516231;14550072;58595272;25013607;2000
AT_EE-2250;AT_EE;EE_AT;AT;EE;481796;35187;47516231;14550072;58595272;25013607;2250
AT_EE-2500;AT_EE;EE_AT;AT;EE;481796;35187;47516231;14550072;58595272;25013607;2500
AT_EE-2750;AT_EE;EE_AT;AT;EE;481796;35187;47516231;14550072;58595272;25013607;2750
AT_EE-3000;AT_EE;EE_AT;AT;EE;481796;35187;47516231;14550072;58595272;25013607;3000
AT_EE-3250;AT_EE;EE_AT;AT;EE;481796;35187;47516231;14550072;58595272;25013607;3250
AT_EE-3500;AT_EE;EE_AT;AT;EE;481796;35187;47516231;14550072;58595272;25013607;3500
AT_ES-40;AT_ES;ES_AT;AT;ES;481796;1461552;47516231;14550072;40463667;-374922;40
AT_ES-75;AT_ES;ES_AT;AT;ES;481796;1461552;47516231;14550072;40463667;-374922;75
AT_ES-100;AT_ES;ES_AT;AT;ES;481796;1461552;47516231;14550072;40463667;-374922;100
AT_ES-150;AT_ES;ES_AT;AT;ES;481796;1461552;47516231;14550072;40463667;-374922;150
AT_ES-200;AT_ES;ES_AT;AT;ES;481796;1461552;47516231;14550072;40463667;-374922;200
AT_ES-250;AT_ES;ES_AT;AT;ES;481796;1461552;47516231;14550072;40463667;-374922;250
AT_ES-300;AT_ES;ES_AT;AT;ES;481796;1461552;47516231;14550072;40463667;-374922;300
AT_ES-350;AT_ES;ES_AT;AT;ES;481796;1461552;47516231;14550072;40463667;-374922;350
AT_ES-400;AT_ES;ES_AT;AT;ES;481796;1461552;47516231;14550072;40463667;-374922;400
AT_ES-500;AT_ES;ES_AT;AT;ES;481796;1461552;47516231;14550072;40463667;-374922;500
AT_ES-600;AT_ES;ES_AT;AT;ES;481796;1461552;47516231;14550072;40463667;-374922;600
AT_ES-700;AT_ES;ES_AT;AT;ES;481796;1461552;47516231;14550072;40463667;-374922;700
AT_ES-800;AT_ES;ES_AT;AT;ES;481796;1461552;47516231;14550072;40463667;-374922;800
AT_ES-900;AT_ES;ES_AT;AT;ES;481796;1461552;47516231;14550072;40463667;-374922;900
AT_ES-1000;AT_ES;ES_AT;AT;ES;481796;1461552;47516231;14550072;40463667;-374922;1000
AT_ES-1250;AT_ES;ES_AT;AT;ES;481796;1461552;47516231;14550072;40463667;-374922;1250
AT_ES-1500;AT_ES;ES_AT;AT;ES;481796;1461552;47516231;14550072;40463667;-374922;1500
AT_ES-1750;AT_ES;ES_AT;AT;ES;481796;1461552;47516231;14550072;40463667;-374922;1750
AT_ES-2000;AT_ES;ES_AT;AT;ES;481796;1461552;47516231;14550072;40463667;-374922;2000
AT_ES-2250;AT_ES;ES_AT;AT;ES;481796;1461552;47516231;14550072;40463667;-374922;2250
AT_ES-2500;AT_ES;ES_AT;AT;ES;481796;1461552;47516231;14550072;40463667;-374922;2500
AT_ES-2750;AT_ES;ES_AT;AT;ES;481796;1461552;47516231;14550072;40463667;-374922;2750
AT_ES-3000;AT_ES;ES_AT;AT;ES;481796;1461552;47516231;14550072;40463667;-374922;3000
AT_ES-3250;AT_ES;ES_AT;AT;ES;481796;1461552;47516231;14550072;40463667;-374922;3250
AT_ES-3500;AT_ES;ES_AT;AT;ES;481796;1461552;47516231;14550072;40463667;-374922;3500
AT_FR-40;AT_FR;FR_AT;AT;FR;481796;2938271;47516231;14550072;46227638;2213749;40
AT_FR-75;AT_FR;FR_AT;AT;FR;481796;2938271;47516231;14550072;46227638;2213749;75
AT_FR-100;AT_FR;FR_AT;AT;FR;481796;2938271;47516231;14550072;46227638;2213749;100
AT_FR-150;AT_FR;FR_AT;AT;FR;481796;2938271;47516231;14550072;46227638;2213749;150
AT_FR-200;AT_FR;FR_AT;AT;FR;481796;2938271;47516231;14550072;46227638;2213749;200
AT_FR-250;AT_FR;FR_AT;AT;FR;481796;2938271;47516231;14550072;46227638;2213749;250
AT_FR-300;AT_FR;FR_AT;AT;FR;481796;2938271;47516231;14550072;46227638;2213749;300
AT_FR-350;AT_FR;FR_AT;AT;FR;481796;2938271;47516231;14550072;46227638;2213749;350
AT_FR-400;AT_FR;FR_AT;AT;FR;481796;2938271;47516231;14550072;46227638;2213749;400
AT_FR-500;AT_FR;FR_AT;AT;FR;481796;2938271;47516231;14550072;46227638;2213749;500
AT_FR-600;AT_FR;FR_AT;AT;FR;481796;2938271;47516231;14550072;46227638;2213749;600
AT_FR-700;AT_FR;FR_AT;AT;FR;481796;2938271;47516231;14550072;46227638;2213749;700
AT_FR-800;AT_FR;FR_AT;AT;FR;481796;2938271;47516231;14550072;46227638;2213749;800
AT_FR-900;AT_FR;FR_AT;AT;FR;481796;2938271;47516231;14550072;46227638;2213749;900
AT_FR-1000;AT_FR;FR_AT;AT;FR;481796;2938271;47516231;14550072;46227638;2213749;1000
AT_FR-1250;AT_FR;FR_AT;AT;FR;481796;2938271;47516231;14550072;46227638;2213749;1250
AT_FR-1500;AT_FR;FR_AT;AT;FR;481796;2938271;47516231;14550072;46227638;2213749;1500
AT_FR-1750;AT_FR;FR_AT;AT;FR;481796;2938271;47516231;14550072;46227638;2213749;1750
AT_FR-2000;AT_FR;FR_AT;AT;FR;481796;2938271;47516231;14550072;46227638;2213749;2000
AT_FR-2250;AT_FR;FR_AT;AT;FR;481796;2938271;47516231;14550072;46227638;2213749;2250
AT_FR-2500;AT_FR;FR_AT;AT;FR;481796;2938271;47516231;14550072;46227638;2213749;2500
AT_FR-2750;AT_FR;FR_AT;AT;FR;481796;2938271;47516231;14550072;46227638;2213749;2750
AT_FR-3000;AT_FR;FR_AT;AT;FR;481796;2938271;47516231;14550072;46227638;2213749;3000
AT_FR-3250;AT_FR;FR_AT;AT;FR;481796;2938271;47516231;14550072;46227638;2213749;3250
AT_FR-3500;AT_FR;FR_AT;AT;FR;481796;2938271;47516231;14550072;46227638;2213749;3500
AT_GB-40;AT_GB;GB_AT;AT;GB;481796;3124650;47516231;14550072;55378051;-3435973;40
AT_GB-75;AT_GB;GB_AT;AT;GB;481796;3124650;47516231;14550072;55378051;-3435973;75
AT_GB-100;AT_GB;GB_AT;AT;GB;481796;3124650;47516231;14550072;55378051;-3435973;100
AT_GB-150;AT_GB;GB_AT;AT;GB;481796;3124650;47516231;14550072;55378051;-3435973;150
AT_GB-200;AT_GB;GB_AT;AT;GB;481796;3124650;47516231;14550072;55378051;-3435973;200
AT_GB-250;AT_GB;GB_AT;AT;GB;481796;3124650;47516231;14550072;55378051;-3435973;250
AT_GB-300;AT_GB;GB_AT;AT;GB;481796;3124650;47516231;14550072;55378051;-3435973;300
AT_GB-350;AT_GB;GB_AT;AT;GB;481796;3124650;47516231;14550072;55378051;-3435973;350
AT_GB-400;AT_GB;GB_AT;AT;GB;481796;3124650;47516231;14550072;55378051;-3435973;400
AT_GB-500;AT_GB;GB_AT;AT;GB;481796;3124650;47516231;14550072;55378051;-3435973;500
AT_GB-600;AT_GB;GB_AT;AT;GB;481796;3124650;47516231;14550072;55378051;-3435973;600
AT_GB-700;AT_GB;GB_AT;AT;GB;481796;3124650;47516231;14550072;55378051;-3435973;700
AT_GB-800;AT_GB;GB_AT;AT;GB;481796;3124650;47516231;14550072;55378051;-3435973;800
AT_GB-900;AT_GB;GB_AT;AT;GB;481796;3124650;47516231;14550072;55378051;-3435973;900
AT_GB-1000;AT_GB;GB_AT;AT;GB;481796;3124650;47516231;14550072;55378051;-3435973;1000
AT_GB-1250;AT_GB;GB_AT;AT;GB;481796;3124650;47516231;14550072;55378051;-3435973;1250
